sku,nombre,marca,categoria,precio_lista_mxn,costo_mxn,peso_kg,unidades_por_caja,rotacion_esperada,temporalidad,margen_bruto_pct
SKU057,Kit Skin Care 5 Pasos,Neutrogena,Belleza,899,450,0.5,1,media,todo_año,49.9
SKU058,Audífonos Sony WH-1000XM5,Sony,Accesorios Tech,6999,4550,0.3,1,media,buen_fin_navidad,35.0
SKU059,Apple AirPods Pro 2,Apple,Accesorios Tech,5499,3850,0.1,1,alta,buen_fin_navidad,30.0
SKU060,Smart Watch Xiaomi Band 8,Xiaomi,Accesorios Tech,1299,650,0.1,1,alta,todo_año,50.0
SKU061,Bocina JBL Flip 6,JBL,Accesorios Tech,2499,1500,0.5,1,alta,todo_año,40.0
SKU062,Power Bank 20000mAh,Xiaomi,Accesorios Tech,699,350,0.4,1,alta,todo_año,49.9
SKU063,Licuadora Oster 10 Vel,Oster,Hogar,1499,750,3.0,1,alta,dia_madres_navidad,50.0
SKU064,Cafetera Nespresso Vertuo,Nespresso,Hogar,3499,2100,4.0,1,media,buen_fin_navidad,40.0
SKU065,Aspiradora Robot iRobot,iRobot,Hogar,7999,4800,4.0,1,baja,buen_fin_navidad,40.0
SKU066,Freidora de Aire 5.5L,Oster,Hogar,2499,1250,5.0,1,alta,hot_sale,50.0
SKU067,Sartén Set 5pz Antiadherente,T-Fal,Hogar,1999,1000,3.0,1,media,todo_año,50.0
